start_rank,end_rank,rank_gap,start_mean_worp,end_mean_worp,worp_cost,worp_cost_per_rank
70,76,6,-0.1149371536458334,-0.1617528541666667,0.04681570052083331,0.007802616753472218
70,82,12,-0.1149371536458334,-0.2351845182291666,0.12024736458333321,0.010020613715277767
70,88,18,-0.1149371536458334,-0.2810522890625,0.16611513541666661,0.009228618634259257
71,74,3,-0.11707457552083333,-0.1437899401041667,0.026715364583333373,0.00890512152777779
71,77,6,-0.11707457552083333,-0.170889078125,0.053814502604166675,0.008969083767361113
71,83,12,-0.11707457552083333,-0.24267890624999988,0.12560433072916655,0.010467027560763878
71,89,18,-0.11707457552083333,-0.3026825078125,0.18560793229166667,0.010311551793981482
72,75,3,-0.1303280546874999,-0.15485498697916678,0.024526932291666886,0.008175644097222295
72,78,6,-0.1303280546874999,-0.17663621093750004,0.04630815625000015,0.007718026041666691
72,84,12,-0.1303280546874999,-0.25010913541666663,0.11978108072916674,0.009981756727430562
72,90,18,-0.1303280546874999,-0.31018841927083335,0.17986036458333346,0.009992242476851858
73,76,3,-0.13252581770833335,-0.1617528541666667,0.029227036458333355,0.009742345486111118
73,79,6,-0.13252581770833335,-0.19329517708333332,0.06076935937499997,0.010128226562499995
73,85,12,-0.13252581770833335,-0.25569057291666664,0.12316475520833328,0.01026372960069444
73,91,18,-0.13252581770833335,-0.31476306770833334,0.18223725,0.010124291666666667
74,77,3,-0.1437899401041667,-0.170889078125,0.027099138020833302,0.009033046006944434
74,80,6,-0.1437899401041667,-0.20297937239583344,0.05918943229166673,0.009864905381944455
74,86,12,-0.1437899401041667,-0.2640185651041668,0.12022862500000012,0.010019052083333342
74,92,18,-0.1437899401041667,-0.32003918229166667,0.17624924218749996,0.00979162456597222
75,78,3,-0.15485498697916678,-0.17663621093750004,0.021781223958333262,0.007260407986111088
75,81,6,-0.15485498697916678,-0.20851012760416668,0.0536551406249999,0.008942523437499983
75,87,12,-0.15485498697916678,-0.27769827864583346,0.12284329166666669,0.010236940972222225
75,93,18,-0.15485498697916678,-0.32802200260416686,0.1731670156250001,0.00962038975694445
76,79,3,-0.1617528541666667,-0.19329517708333332,0.031542322916666615,0.010514107638888872
76,82,6,-0.1617528541666667,-0.2351845182291666,0.0734316640624999,0.012238610677083317
76,88,12,-0.1617528541666667,-0.2810522890625,0.1192994348958333,0.009941619574652776
76,94,18,-0.1617528541666667,-0.3353606145833334,0.17360776041666667,0.009644875578703704
77,80,3,-0.170889078125,-0.20297937239583344,0.03209029427083343,0.010696764756944477
77,83,6,-0.170889078125,-0.24267890624999988,0.07178982812499987,0.011964971354166645
77,89,12,-0.170889078125,-0.3026825078125,0.1317934296875,0.010982785807291666
77,95,18,-0.170889078125,-0.33924903385416694,0.16835995572916693,0.009353330873842608
78,81,3,-0.17663621093750004,-0.20851012760416668,0.03187391666666664,0.01062463888888888
78,84,6,-0.17663621093750004,-0.25010913541666663,0.07347292447916659,0.012245487413194431
78,90,12,-0.17663621093750004,-0.31018841927083335,0.1335522083333333,0.011129350694444443
78,96,18,-0.17663621093750004,-0.3494454999999999,0.17280928906249987,0.00960051605902777
79,82,3,-0.19329517708333332,-0.2351845182291666,0.041889341145833286,0.013963113715277762
79,85,6,-0.19329517708333332,-0.25569057291666664,0.06239539583333331,0.010399232638888886
79,91,12,-0.19329517708333332,-0.31476306770833334,0.12146789062500002,0.010122324218750001
79,97,18,-0.19329517708333332,-0.35321165104166674,0.15991647395833342,0.008884248553240746
80,83,3,-0.20297937239583344,-0.24267890624999988,0.03969953385416644,0.013233177951388814
80,86,6,-0.20297937239583344,-0.2640185651041668,0.061039192708333384,0.010173198784722231
80,92,12,-0.20297937239583344,-0.32003918229166667,0.11705980989583323,0.009754984157986103
80,98,18,-0.20297937239583344,-0.36353082291666655,0.1605514505208331,0.008919525028935173
81,84,3,-0.20851012760416668,-0.25010913541666663,0.04159900781249995,0.013866335937499983
81,87,6,-0.20851012760416668,-0.27769827864583346,0.06918815104166678,0.011531358506944464
81,93,12,-0.20851012760416668,-0.32802200260416686,0.11951187500000018,0.009959322916666681
81,99,18,-0.20851012760416668,-0.3727730911458334,0.16426296354166672,0.009125720196759262
82,85,3,-0.2351845182291666,-0.25569057291666664,0.020506054687500025,0.006835351562500008
