pos_rank,seasons,mean_worp,median_worp,sd_worp
204,3,-1.0212013619791669,-1.0238634921875005,0.009050503463260863
205,3,-1.0244253489583335,-1.0249118906250003,0.008849942632799312
206,3,-1.0298749427083334,-1.0347345078125,0.009256113947479092
207,3,-1.0319064895833334,-1.0375302031250002,0.010136515051952543
208,3,-1.040621760416667,-1.0385338281250005,0.014061665692256755
209,3,-1.0480059166666669,-1.0430959765625003,0.0143564484581219
210,3,-1.0542477473958336,-1.0499002187500004,0.019837422932919777
211,3,-1.0559760937500002,-1.0504141406250005,0.01899097040092471
212,3,-1.0596442187500001,-1.0511480000000004,0.020864259730068054
213,3,-1.0606312526041668,-1.0513545546875005,0.020545034493858524
214,3,-1.0623920364583335,-1.0529998437500003,0.020493970061387094
215,3,-1.0670045234375,-1.0553695937500005,0.024789582698389406
216,3,-1.0677101458333336,-1.0571746015625003,0.024355294104188265
217,3,-1.06977790625,-1.0599169609375003,0.024251958685114698
218,3,-1.0731509817708336,-1.0611025937500005,0.023845892233808497
219,3,-1.0860396848958334,-1.08254790625,0.018564069610527957
220,3,-1.0914159010416669,-1.087471625,0.02032225583898755
221,3,-1.0926529140625003,-1.0883831328125,0.02171216160946685
222,3,-1.0962629270833337,-1.0923343046875005,0.023703634731809226
223,3,-1.0980999088541668,-1.09568578125,0.024322525663123724
224,3,-1.110481252604167,-1.097018640625,0.032102996741966684
225,3,-1.113717088541667,-1.098600171875,0.03573226002204167
226,3,-1.1261980208333335,-1.1104798593750005,0.02828714614208254
227,3,-1.1353164921875003,-1.1265065468750004,0.02126270237015627
228,3,-1.1393966640625002,-1.1265065468750004,0.02826479776258355
229,3,-1.1418431536458336,-1.1293969921875004,0.02666259848346942
230,3,-1.1443852994791668,-1.134114296875,0.02689341180002574
231,3,-1.1487224557291666,-1.1364206484375003,0.029140598898305628
232,3,-1.1496860234375001,-1.1366451718750004,0.029519029828482424
233,3,-1.154101705729167,-1.1432978281250006,0.029007344429229545
234,3,-1.1576964765625002,-1.1445297890625006,0.02694850304334795
235,3,-1.164275471354167,-1.1517963906250004,0.03231069794551571
236,3,-1.1709394661458334,-1.1553626953125005,0.0353672272418123
237,3,-1.1802294921875003,-1.1653902343750004,0.03240242285958095
238,3,-1.1884990234375001,-1.1819194687500003,0.029820493983043872
239,3,-1.2025225729166669,-1.2093626093750005,0.03536438634932538
240,3,-1.204453697916667,-1.2094060546875005,0.0359153700697737
241,3,-1.2086131067708334,-1.2136612812500005,0.037900007131012346
242,3,-1.2128186640625003,-1.2136678750000005,0.03654335815988491
243,3,-1.2180322578125002,-1.2158910156250002,0.03558955803531081
244,3,-1.2216004609375002,-1.2171436796875006,0.03883964439144749
245,3,-1.2286175885416668,-1.2233988359375003,0.03311998103164312
246,3,-1.2391314375000002,-1.2308891250000005,0.023640690371336325
247,3,-1.2431043984375003,-1.2374064296875005,0.021959109123217073
248,3,-1.2468298854166668,-1.2459044843750005,0.0207386236013978
249,3,-1.2529667552083334,-1.2606917500000003,0.021924025059612877
250,3,-1.2544238958333336,-1.2633098046875004,0.02143097941550753
251,3,-1.2575547708333337,-1.2693483750000003,0.022941814633505524
252,3,-1.2748388281250003,-1.2818383046875002,0.03248885839701411
253,3,-1.2807615911458334,-1.2868185625,0.03847015825976065
254,3,-1.2817481614583335,-1.2874673750000003,0.03756210238237305
255,3,-1.2888530156250002,-1.2893226640625,0.02799717716786546
256,3,-1.2957910755208335,-1.290773109375,0.028701965795157304
257,3,-1.2980614062500002,-1.2952284843750002,0.02755282825692899
258,3,-1.3029977135416668,-1.2952467500000002,0.031869863625329654
259,3,-1.3123612161458336,-1.2997654140625,0.02488051312301949
260,3,-1.3183604609375001,-1.3068406171875,0.0257545290013392
261,3,-1.322723619791667,-1.3133719609375,0.02364499483430664
262,3,-1.324399776041667,-1.3151265625000002,0.022175918600708323
263,3,-1.326172815104167,-1.317812609375,0.02145356469860852
264,3,-1.3378686953125,-1.33272640625,0.013970517692803207
265,3,-1.341374838541667,-1.3365367031250002,0.011260977106027236
266,3,-1.3442182786458334,-1.3394262421875,0.01258263770150879
267,3,-1.3495180859375004,-1.3473995078125005,0.008350827784665891
268,3,-1.3510883385416668,-1.3480146171875,0.006917074289703063
269,3,-1.3576473958333335,-1.3536348359375,0.011115530027439976
270,3,-1.3606431145833335,-1.3578632734375,0.011120861668752055
271,3,-1.3623115911458334,-1.3608194375,0.011951857430095095
272,3,-1.3641264062500003,-1.3609930703125,0.013822972880134614
273,3,-1.3700497500000004,-1.3630640234375002,0.012302499494277766
274,3,-1.3727786223958336,-1.3670334453125,0.011387710283658517
