league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret,signed_capture,gain_vs_old_choice
920016644603248640,2023,SF_2TE,5,17,3,12,4.0,3.0,6.0,4.0,evaluated,3.311275757812498,0.07336298447916671,3.322147786145832,-0.010872028333334338
920016644603248640,2023,SF_2TE,5,17,5,8,4.0,3.0,5.0,5.0,evaluated,3.520465831666666,0.060924587291666533,3.502439792291665,0.018026039375000913
920016644603248640,2023,SF_2TE,5,17,5,12,3.0,3.0,6.0,5.0,evaluated,3.3096583040624985,0.08291849260416677,3.350168079583332,-0.04050977552083346
920016644603248640,2023,SF_2TE,12,24,3,12,5.0,3.0,12.0,4.0,evaluated,3.277141381874998,0.12107255520833322,3.321141840312498,-0.0440004584375
920016644603248640,2023,SF_2TE,12,24,5,12,4.0,3.0,12.0,5.0,evaluated,3.323249176354165,0.08803046322916701,3.366089345729165,-0.04284016937499979
1048274355802820608,2024,SF_2TE,5,17,3,8,5.0,4.0,5.0,3.0,evaluated,3.1593922608333322,0.08599834916666686,3.199997978645833,-0.040605717812500774
1048274355802820608,2024,SF_2TE,5,17,3,12,3.0,4.0,7.0,3.0,evaluated,4.060615309375,0.006740468749999747,4.044612579999999,0.01600272937500069
1048274355802820608,2024,SF_2TE,5,17,5,8,5.0,5.0,4.0,3.0,evaluated,3.1224375168749994,0.15785916677083334,3.230262289270833,-0.10782477239583343
1048274355802820608,2024,SF_2TE,5,17,5,12,3.0,4.0,7.0,3.0,evaluated,4.086980609374999,0.006630165729166748,4.079804805208332,0.007175804166666744
1048274355802820608,2024,SF_2TE,12,24,3,8,6.0,7.0,8.0,3.0,evaluated,3.2775366098958325,0.08265313500000016,3.273124941354166,0.004411668541666636
1048274355802820608,2024,SF_2TE,12,24,3,12,6.0,6.0,8.0,4.0,evaluated,4.0249225490625,0.040942943229165994,4.017663844374999,0.007258704687500561
1048274355802820608,2024,SF_2TE,12,24,5,8,6.0,5.0,8.0,5.0,evaluated,3.298399193541666,0.00737622583333349,3.265623815937499,0.032775377604167044
1048274355802820608,2024,SF_2TE,12,24,5,12,6.0,5.0,8.0,5.0,evaluated,4.060978354687499,0.03815294302083316,4.072313590520832,-0.011335235833332291
1048278093472837632,2024,SF_2TE,5,16,3,8,3.0,6.0,4.0,3.0,evaluated,2.791216536458333,0.19570907177083333,2.9278093928125,-0.1365928563541674
1048278093472837632,2024,SF_2TE,5,16,3,12,3.0,4.0,6.0,3.0,evaluated,3.3029816419791658,0.003943854062499715,3.3053313013541654,-0.0023496593749996464
1048278093472837632,2024,SF_2TE,5,16,5,8,3.0,5.0,4.0,4.0,evaluated,2.8351705002083327,0.1397905144791666,2.8858038244791664,-0.05063332427083367
1048278093472837632,2024,SF_2TE,5,16,5,12,3.0,5.0,6.0,2.0,evaluated,3.2442639651041656,0.08958434999999998,3.3329618493749997,-0.08869788427083414
1048278093472837632,2024,SF_2TE,12,23,3,8,4.0,8.0,7.0,4.0,evaluated,2.9680653309374994,0.06535602781250012,2.9875052359375,-0.01943990500000048
1048278093472837632,2024,SF_2TE,12,23,3,12,3.0,6.0,10.0,4.0,evaluated,3.3010792041666654,0.021562216979166344,3.2963622427083323,0.004716961458333113
1048278093472837632,2024,SF_2TE,12,23,5,8,4.0,8.0,6.0,5.0,evaluated,2.934940282708333,0.006008978645833274,2.9082129997916666,0.026727282916666262
1048278093472837632,2024,SF_2TE,12,23,5,12,5.0,8.0,6.0,4.0,evaluated,3.3137045287499993,0.02153848510416667,3.324971269895833,-0.011266741145833592
1180354306008649728,2025,SF_2TE,5,16,3,8,2.0,5.0,5.0,4.0,evaluated,2.558759156979166,0.053112282500000184,2.5712252764583323,-0.012466119479166426
1180354306008649728,2025,SF_2TE,5,16,3,12,2.0,6.0,4.0,4.0,evaluated,2.7533107018749994,0.083123621354167,2.8204675851041663,-0.06715688322916691
1180354306008649728,2025,SF_2TE,5,16,5,8,2.0,5.0,5.0,4.0,evaluated,2.5746847099999997,0.05152749927083352,2.569572344583333,0.005112365416666709
1180354306008649728,2025,SF_2TE,5,16,5,12,2.0,6.0,5.0,3.0,evaluated,2.847069491562499,0.08313270635416685,2.925967416979166,-0.07889792541666685
1180354306008649728,2025,SF_2TE,12,23,3,8,5.0,5.0,9.0,4.0,evaluated,2.5646996710416663,0.0388283431250002,2.5819933721874992,-0.01729370114583295
1180354306008649728,2025,SF_2TE,12,23,3,12,5.0,8.0,6.0,4.0,evaluated,2.839288935104166,0.0,2.809135635208333,0.03015329989583293
1180354306008649728,2025,SF_2TE,12,23,5,8,5.0,5.0,9.0,4.0,evaluated,2.573402429791666,0.03384706760416659,2.594451250416666,-0.02104882062499991
1180354306008649728,2025,SF_2TE,12,23,5,12,5.0,8.0,6.0,4.0,evaluated,2.9101573271874996,0.0030917759374998375,2.899244832604166,0.010912494583333654
1180578870847586304,2025,SF_2TE,5,16,3,8,3.0,5.0,4.0,4.0,evaluated,2.5656937210416664,0.023582176666666548,2.537323136041666,0.028370585000000226
1180578870847586304,2025,SF_2TE,5,16,3,12,3.0,5.0,4.0,4.0,evaluated,2.7935333528124993,0.0465470537499999,2.8332515810416665,-0.03971822822916726
1180578870847586304,2025,SF_2TE,5,16,5,8,3.0,5.0,5.0,3.0,evaluated,2.5611841211458333,0.043416338645833275,2.5350338909375,0.02615023020833318
1180578870847586304,2025,SF_2TE,5,16,5,12,3.0,5.0,4.0,4.0,evaluated,2.876815101249999,0.04744370083333349,2.924258802083333,-0.047443700833333935
1180578870847586304,2025,SF_2TE,12,23,3,8,3.0,5.0,10.0,5.0,evaluated,2.5410481553124993,0.06070963802083348,2.568434547604166,-0.027386392291666617
1180578870847586304,2025,SF_2TE,12,23,5,8,4.0,5.0,9.0,5.0,evaluated,2.559935821666666,0.04761693760416671,2.590187720833333,-0.030251899166666707
1180578870847586304,2025,SF_2TE,12,23,5,12,4.0,8.0,6.0,5.0,evaluated,2.9033759690624996,0.006038365625000115,2.882206635625,0.021169333437499827
