league_id,season,stratum,roster_id,week,baseline_size,active_capacity,owned_count,capacity_eligible
1048901308398288896,2024,1QB,2,5,16,25,30,False
1048901308398288896,2024,1QB,3,5,19,25,29,False
1048901308398288896,2024,1QB,4,5,20,25,31,False
1048901308398288896,2024,1QB,5,5,14,25,28,False
1048901308398288896,2024,1QB,6,5,19,25,28,False
1048901308398288896,2024,1QB,7,5,22,25,29,False
1048901308398288896,2024,1QB,8,5,20,25,30,False
1048901308398288896,2024,1QB,9,5,16,25,33,False
1048901308398288896,2024,1QB,10,5,18,25,32,False
1048901308398288896,2024,1QB,11,5,16,25,30,False
1048901308398288896,2024,1QB,12,5,21,25,32,False
1048901308398288896,2024,1QB,1,6,18,25,31,False
1048901308398288896,2024,1QB,2,6,19,25,30,False
1048901308398288896,2024,1QB,3,6,20,25,31,False
1048901308398288896,2024,1QB,4,6,22,25,33,False
1048901308398288896,2024,1QB,5,6,16,25,28,False
1048901308398288896,2024,1QB,6,6,21,25,28,False
1048901308398288896,2024,1QB,7,6,22,25,29,False
1048901308398288896,2024,1QB,8,6,21,25,30,False
1048901308398288896,2024,1QB,9,6,14,25,33,False
1048901308398288896,2024,1QB,10,6,20,25,32,False
1048901308398288896,2024,1QB,11,6,17,25,30,False
1048901308398288896,2024,1QB,12,6,23,25,32,False
1048901308398288896,2024,1QB,1,7,18,25,30,False
1048901308398288896,2024,1QB,2,7,19,25,30,False
1048901308398288896,2024,1QB,3,7,19,25,31,False
1048901308398288896,2024,1QB,4,7,22,25,33,False
1048901308398288896,2024,1QB,5,7,18,25,28,False
1048901308398288896,2024,1QB,6,7,22,25,28,False
1048901308398288896,2024,1QB,7,7,20,25,29,False
1048901308398288896,2024,1QB,8,7,21,25,30,False
1048901308398288896,2024,1QB,9,7,13,25,33,False
1048901308398288896,2024,1QB,10,7,18,25,32,False
1048901308398288896,2024,1QB,11,7,21,25,31,False
1048901308398288896,2024,1QB,12,7,24,25,31,False
1048901308398288896,2024,1QB,1,8,18,25,30,False
1048901308398288896,2024,1QB,2,8,19,25,30,False
1048901308398288896,2024,1QB,3,8,20,25,29,False
1048901308398288896,2024,1QB,4,8,21,25,33,False
1048901308398288896,2024,1QB,5,8,18,25,28,False
1048901308398288896,2024,1QB,6,8,22,25,28,False
1048901308398288896,2024,1QB,7,8,22,25,29,False
1048901308398288896,2024,1QB,8,8,23,25,30,False
1048901308398288896,2024,1QB,9,8,13,25,33,False
1048901308398288896,2024,1QB,10,8,20,25,32,False
1048901308398288896,2024,1QB,11,8,19,25,31,False
1048901308398288896,2024,1QB,12,8,21,25,31,False
1048901308398288896,2024,1QB,1,9,18,25,30,False
1048901308398288896,2024,1QB,2,9,19,25,30,False
1048901308398288896,2024,1QB,3,9,22,25,30,False
1048901308398288896,2024,1QB,4,9,22,25,33,False
1048901308398288896,2024,1QB,5,9,19,25,28,False
1048901308398288896,2024,1QB,6,9,21,25,28,False
1048901308398288896,2024,1QB,7,9,21,25,29,False
1048901308398288896,2024,1QB,8,9,23,25,30,False
1048901308398288896,2024,1QB,9,9,12,25,33,False
1048901308398288896,2024,1QB,10,9,21,25,30,False
1048901308398288896,2024,1QB,11,9,18,25,30,False
1048901308398288896,2024,1QB,12,9,21,25,31,False
1048901308398288896,2024,1QB,1,10,18,25,30,False
1048901308398288896,2024,1QB,2,10,20,25,30,False
1048901308398288896,2024,1QB,3,10,22,25,30,False
1048901308398288896,2024,1QB,4,10,21,25,33,False
1048901308398288896,2024,1QB,5,10,21,25,28,False
1048901308398288896,2024,1QB,6,10,21,25,28,False
1048901308398288896,2024,1QB,7,10,21,25,29,False
1048901308398288896,2024,1QB,8,10,24,25,29,False
1048901308398288896,2024,1QB,9,10,12,25,33,False
1048901308398288896,2024,1QB,10,10,20,25,30,False
1048901308398288896,2024,1QB,11,10,17,25,30,False
1048901308398288896,2024,1QB,12,10,23,25,31,False
1048901308398288896,2024,1QB,1,11,16,25,30,False
1048901308398288896,2024,1QB,2,11,20,25,30,False
1048901308398288896,2024,1QB,3,11,25,25,31,False
